5,+1.155433e+006,+8.764479e-001,+3.394883e-001
10,+2.288043e+006,+7.669441e-001,+3.247491e-001
20,+4.422793e+006,+6.852468e-001,+3.218093e-001
30,+6.349255e+006,+6.388049e-001,+3.258637e-001
50,+1.035533e+007,+4.879258e-001,+3.012015e-001
75,+1.510596e+007,+4.030945e-001,+2.870856e-001
100,+1.962764e+007,+3.457192e-001,+2.711311e-001
250,+4.630328e+007,+1.738411e-001,+2.037627e-001
500,+7.914287e+007,+8.187079e-002,+1.449700e-001
1000,+1.420905e+008,+2.905058e-002,+8.217363e-002
